frame,timestamp,CMC_pos_x,CMC_pos_y,CMC_pos_z,CMC_rot_x,CMC_rot_y,CMC_rot_z,CMC_rot_w,MCP_pos_x,MCP_pos_y,MCP_pos_z,MCP_rot_x,MCP_rot_y,MCP_rot_z,MCP_rot_w,IP_pos_x,IP_pos_y,IP_pos_z,IP_rot_x,IP_rot_y,IP_rot_z,IP_rot_w,Tip_pos_x,Tip_pos_y,Tip_pos_z,Tip_rot_x,Tip_rot_y,Tip_rot_z,Tip_rot_w
45,1765888720676,0.0241747,0.0172301,-0.00417916,0.950943,-0.1292,-0.119359,-0.254497,0.0419862,-0,0,-9.31323e-09,0.00110991,-7.45058e-08,0.999999,0.0299928,-0,0,3.72529e-08,0.0190504,1.19209e-07,0.999819,0.0252377,-0,0,0,0,0,1
46,1765888720709,0.0241747,0.0172301,-0.00417916,0.951293,-0.0166563,-0.149339,-0.269186,0.0419862,-0,0,5.16884e-08,-0.00642101,3.35276e-08,0.999979,0.0299928,-0,0,-2.02563e-08,-0.0957849,-2.98023e-08,0.995402,0.0252377,-0,0,0,0,0,1
47,1765888720742,0.0241747,0.0172301,-0.00417916,0.93431,0.0827902,-0.16544,-0.304698,0.0419862,-0,0,-4.37722e-08,-0.0112686,4.47035e-08,0.999937,0.0299928,-0,0,4.28408e-08,-0.184741,-5.58794e-08,0.982787,0.0252377,-0,0,0,0,0,1
48,1765888720776,0.0241747,0.0172301,-0.00417916,0.919771,0.147647,-0.170345,-0.321255,0.0419862,-0,0,1.30385e-08,-0.0119995,1.49012e-08,0.999928,0.0299928,-0,0,-2.98023e-08,-0.240927,2.23517e-08,0.970543,0.0252377,-0,0,0,0,0,1
49,1765888720809,0.0241747,0.0172301,-0.00417916,0.910274,0.170743,-0.167149,-0.338096,0.0419862,-0,0,4.47035e-08,-0.0121265,8.9407e-08,0.999926,0.0299928,-0,0,-5.96046e-08,-0.265827,-7.45058e-08,0.964021,0.0252377,-0,0,0,0,0,1
50,1765888720842,0.0241747,0.0172301,-0.00417916,0.901917,0.179208,-0.16468,-0.356806,0.0419862,-0,0,3.72529e-09,-0.0116083,-2.98023e-08,0.999933,0.0299928,-0,0,0,-0.284818,-8.9407e-08,0.958582,0.0252377,-0,0,0,0,0,1
51,1765888720876,0.0241747,0.0172301,-0.00417916,0.900911,0.180871,-0.162164,-0.359649,0.0419862,-0,0,7.07805e-08,-0.0114934,4.47035e-08,0.999934,0.0299928,-0,0,-1.45286e-07,-0.285627,-4.47035e-08,0.958341,0.0252377,-0,0,0,0,0,1
52,1765888720909,0.0241747,0.0172301,-0.00417916,0.900616,0.176796,-0.155542,-0.365294,0.0419862,-0,0,-7.45058e-08,-0.0121371,-4.47035e-08,0.999926,0.0299928,-0,0,-4.09782e-08,-0.279331,0,0.960195,0.0252377,-0,0,0,0,0,1
53,1765888720942,0.0241747,0.0172301,-0.00417916,0.900932,0.167564,-0.144622,-0.373266,0.0419862,-0,0,5.02914e-08,-0.011941,-5.96047e-08,0.999929,0.0299928,-0,0,-8.19564e-08,-0.269692,1.49012e-07,0.962947,0.0252377,-0,0,0,0,0,1
54,1765888720975,0.0241747,0.0172301,-0.00417916,0.904373,0.147362,-0.130506,-0.378633,0.0419862,-0,0,-5.40167e-08,-0.0122049,1.04308e-07,0.999925,0.0299928,-0,0,2.6077e-08,-0.25085,-1.41561e-07,0.968026,0.0252377,-0,0,0,0,0,1
